"New Quote %quote_name","New Quote %quote_name"
"Dear %user_name,","Dear %user_name,"
"Your new Quote <a href=""%quote_url"">%quote_name</a> has been successfully created.","Your new Quote <a href=""%quote_url"">%quote_name</a> has been successfully created."
"The Quote expires after %expiration_date.","The Quote expires after %expiration_date."
"A Reminder About Expiring Quote ""%quote_name""","A Reminder About Expiring Quote ""%quote_name"""
"Dear %customer_name,","Dear %customer_name,"
"Your Quote %quote_name expires in %days_number_until_expired days.","Your Quote %quote_name expires in %days_number_until_expired days."
"Click <a href=""%quote_url"">here</a> to use it.","Click <a href=""%quote_url"">here</a> to use it."
"The Quote %quote_name assigned to you","The Quote %quote_name assigned to you"
"Hello %user_name,","Hello %user_name,"
"You are responsible for the Quote %quote_name.","You are responsible for the Quote %quote_name."
"Click <a href=""%quote_url"">here</a> to check it.","Click <a href=""%quote_url"">here</a> to check it."
"Updated Quote %quote_name","Updated Quote %quote_name"
"The Quote <a href=""%quote_url"">%quote_name</a> has been updated. Please, see below.","The Quote <a href=""%quote_url"">%quote_name</a> has been updated. Please, see below."
"A new Quote <a href=""%quote_url"">%quote_name</a> has been submitted by the buyer %buyer_name.","A new Quote <a href=""%quote_url"">%quote_name</a> has been submitted by the buyer %buyer_name."
"Quote total is %total.","Quote total is %total."
"Request a Quote","Request a Quote"
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
Close,Close
of,of
"Item(s) in Quote","Item(s) in Quote"
"View and Edit Quote List","View and Edit Quote List"
"Quote Subtotal","Quote Subtotal"
"Add Products","Add Products"
"You have item changes","You have item changes"
No,No
Yes,Yes
"Please enter a positive number.","Please enter a positive number."
"Please enter a positive and non-decimal number.","Please enter a positive and non-decimal number."
"Are you sure you would like to remove this item?","Are you sure you would like to remove this item?"
"Enter 0 OR 1 and greater value","Enter 0 OR 1 and greater value"
"Aheadworks Extensions","Aheadworks Extensions"
"Cart to Quote","Cart to Quote"
General,General
"Enable ""Add to Quote"" button and Quote List","Enable ""Add to Quote"" button and Quote List"
"Auto Acceptance of Quote","Auto Acceptance of Quote"
"All Quotes will have the status ""Accepted"". Discount negotiation will be disabled. Customers can only buy or decline their Quotes.","All Quotes will have the status ""Accepted"". Discount negotiation will be disabled. Customers can only buy or decline their Quotes."
"Acceptance Comment for Customer","Acceptance Comment for Customer"
"Extra Block in .doc of Exported Quote","Extra Block in .doc of Exported Quote"
"This block will be displayed below products in .doc file of exported quote.","This block will be displayed below products in .doc file of exported quote."
"Customer Groups Allowed to Request a Quote","Customer Groups Allowed to Request a Quote"
"Allow to Request a Quote From the Cart","Allow to Request a Quote From the Cart"
"Default Quote Expiration Period, days","Default Quote Expiration Period, days"
"Setting to 0 will disable the option","Setting to 0 will disable the option"
"Minimum Subtotal for a Quote Request","Minimum Subtotal for a Quote Request"
"Leave empty, so no minimum subtotal is required","Leave empty, so no minimum subtotal is required"
"Message for Minimum Quote Subtotal","Message for Minimum Quote Subtotal"
"File Attachments","File Attachments"
"Max Upload File Size (Mb)","Max Upload File Size (Mb)"
"Allow File Extensions","Allow File Extensions"
"Email Notifications","Email Notifications"
"Notification Email Sender","Notification Email Sender"
"CC Email Recipients","CC Email Recipients"
"Seller Quote Changes Template","Seller Quote Changes Template"
"Email Recipient: Admin","Email Recipient: Admin"
"Buyer Quote Changes Template","Buyer Quote Changes Template"
"Email Recipient: Customer","Email Recipient: Customer"
"Seller New Quote Template","Seller New Quote Template"
